,country,name,full_name,isin,currency,symbol
83,spain,Vidrala,Vidrala SA,ES0183746314,EUR,VID
84,spain,Empresarial Materiales,Corporacion Empresarial de Materiales de Construccion SA,ES0182170003,EUR,CCMC
85,spain,Tubacex,Tubacex,ES0132945017,EUR,TUBA
86,spain,Renta Corp,Renta Corp,ES0173365018,EUR,REN
87,spain,Fluidra,Fluidra,ES0137650018,EUR,FLUI
88,spain,Elecnor,Elecnor SA,ES0129743318,EUR,ENOR
89,spain,Azkoyen,Azkoyen,ES0112458312,EUR,AZK
90,spain,Aperam,Aperam MC,LU0569974404,EUR,APAM
91,spain,Sniace,Sniace,ES0165380017,EUR,SNCE
92,spain,Ercros,Ercros,ES0125140A14,EUR,ECR
93,spain,Codere,Codere SA,ES0119256032,EUR,CDRE
94,spain,Natra,Natra,ES0165515117,EUR,NATR
95,spain,Amper,Amper,ES0109260531,EUR,APE
96,spain,Airbus Group,Airbus Group,NL0000235190,EUR,AIR
97,spain,Prim,Prim,ES0170884417,EUR,PRIM
98,spain,Deoleo,Deoleo,ES0110047919,EUR,OLEO
99,spain,ArcelorMittal,ArcelorMittal SA,LU1598757687,EUR,MTS
100,spain,Abengoa B,Abengoa B,ES0105200002,EUR,ABGek
101,spain,Liberbank,Liberbank SA,ES0168675090,EUR,LBK
102,spain,Ebioss Energy,Ebioss Energy AD,BG1100005179,EUR,EBI
103,spain,Entre Cua Socimi,Entre Cua Socimi,ES0131172001,EUR,YENT
104,spain,PETROBRAS PN,Petrobras PN LA,BRPETRACNPR6,EUR,PETR4
105,spain,America Movil,America Movil LA,MXP001691213,EUR,AMXL
106,spain,BRADESPAR ON,Bradespar,BRBRAPACNOR5,EUR,BRPO
107,spain,BRADESPAR PN,Bradespar Pref,BRBRAPACNPR2,EUR,BRPP
108,spain,BRASKEM PNA,Braskem Pref A,BRBRKMACNPA4,EUR,BRKM3
109,spain,COPEL PNB,Copel Pref B,BRCPLEACNPB9,EUR,CPLE6
110,spain,ELETROBRAS ON,Eletrobras,BRELETACNOR6,EUR,ELTO
111,spain,ELETROBRAS PNB,Eletrobras Pr,BRELETACNPB7,EUR,ELTB
112,spain,PETROBRAS ON,Petrobras ON LA,BRPETRACNOR9,EUR,PETR3
113,spain,USIMINAS ON,Usiminas,BRUSIMACNOR3,EUR,USIO
114,spain,USIMINAS PNA,Usiminas Pna LA,BRUSIMACNPA6,EUR,USIM5
115,spain,VALE ON,Vale SA,BRVALEACNOR0,EUR,VALO
116,spain,Alfa,Gpo Alfa A,MXP000511016,EUR,ALFAA
117,spain,Grupo Elektra,Grupo Elektra,MX01EL000003,EUR,ELEKTRA
118,spain,Grupo Financiero Banorte,Grupo Banorte,MXP370711014,EUR,XNOR
119,spain,TV Azteca Cpo,TV Azteca Cpo LA,MX01AZ060013,EUR,TVAZ
120,spain,BBVA Banco Frances,BBVA Banco Frances SA,ARP125991090,EUR,BBAR
121,spain,CEMIG PN,CEMIG - Companhia Energetica Minas Gerais Pref,BRCMIGACNPR3,EUR,CMIG4
122,spain,BRADESCO PN EJ N1,Banco Bradesco SA Pref,BRBBDCACNPR8,EUR,BBDC
123,spain,GERDAU PN N1,Gerdau SA Pref,BRGGBRACNPR8,EUR,GGBR4
124,spain,Volcan Cmp Min,Volcan Cmp Min,PEP648014202,EUR,VOLB
125,spain,1nkemia IUCT SA,1nkemia IUCT Group SA,ES0156303002,EUR,IKM
126,spain,Ab-Biotics S.A.,Ab-Biotics S.A.,ES0109659013,EUR,ABBO
127,spain,Altia Consultores S.A.,Altia Consultores S.A.,ES0113312005,EUR,ALC
128,spain,ADL Bionatur,ADL Bionatur Solutions SA,ES0184980003,EUR,ADLB
129,spain,Catenon S.A.,Catenon S.A.,ES0112320009,EUR,CATN
130,spain,Euroespes S.A.,Euroespes S.A.,ES0133421000,EUR,EESP
131,spain,Eurona Wireless Telecom S.A.,Eurona Wireless Telecom S.A.,ES0133443004,EUR,EUWT
132,spain,Grino Ecologic S.A.,Grino Ecologic S.A.,ES0143328005,EUR,GRIE
133,spain,Masmovil Ibercom,Masmovil Ibercom SA,ES0184696104,EUR,MASM
134,spain,Imaginarium S.A.,Imaginarium S.A.,ES0147791018,EUR,IMGI
135,spain,Medcom Tech S.A.,Medcom Tech S.A.,ES0161857018,EUR,MEDC
136,spain,Neuron Bio S.A.,Neuron Bio S.A.,ES0166198012,EUR,NEUB
137,spain,Secuoya Grupo de Comunicacion S.A.,Secuoya Grupo de Comunicacion S.A.,ES0131703003,EUR,SECU
138,spain,eDreams Odigeo SA,eDreams Odigeo SA,LU1048328220,EUR,EDRE
139,spain,Lar Espana Real Estate SOCIMI SA,Lar Espana Real Estate SOCIMI SA,ES0105015012,EUR,LRES
140,spain,Applus Services SA,Applus Services SA,ES0105022000,EUR,APPS
141,spain,Merlin Properties SA,Merlin Properties SA,ES0105025003,EUR,MRL
142,spain,Facephi Biometria SA,Facephi Biometria SA,ES0105029005,EUR,FACE
143,spain,Logista,Logista,ES0105027009,EUR,LOG
144,spain,Cerbium,Cerbium Holding SA,ES0105038006,EUR,CRBHO
145,spain,Home Meal,Home Meal,ES0105049003,EUR,HMR
146,spain,Aena,Aena SME SA,ES0105046009,EUR,AENA
147,spain,Uro Property Holdings,Uro Property Holdings,ES0105059002,EUR,YURO
148,spain,NBI Bearings Europe,NBI Bearings Europe SA,ES0105062022,EUR,NBIB
149,spain,Naturhouse Health SA,Naturhouse Health SA,ES0105043006,EUR,NTH
150,spain,Cellnex Telecom,Cellnex Telecom SA,ES0105066007,EUR,CLNX
151,spain,Talgo,Talgo SA,ES0105065009,EUR,TLGO
152,spain,Euskaltel SA,Euskaltel SA,ES0105075008,EUR,EKTL
153,spain,Fidere Patrimonio SOCIMI SA,Fidere Patrimonio SOCIMI SA,ES0105071007,EUR,YFID
154,spain,Grenergy Renovables SA,Grenergy Renovables SA,ES0105079000,EUR,GREG
155,spain,Inclam CO2 SA,Inclam CO2 SA,ES0105083002,EUR,INC
156,spain,Trajano Iberia Socimi SA,Trajano Iberia Socimi SA,ES0105077004,EUR,YTRA
157,spain,Lleidanetworks Serveis Telematics,Lleidanetworks Serveis Telematics SA,ES0105089009,EUR,LLN
