State,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16 (RE)
Andhra Pradesh ,532,613,697,1073,1193,1470,1849,1884,2103,2387,2741,3121,3662,3919,4265,5507,6284,6759,8927,8831,10006,10876,11179,13367,13821,14900,18654,24471,31440,30280,39130,45400,49440,53740,46150,52450
Arunachal Pradesh,–,–,–,–,–,–,78,102,113,126,128,137,172,198,217,263,317,334,332,372,325,449,421,620,650,742,843,953,1280,1770,1570,2160,1940,2550,4150,4060
Assam,171,176,215,339,382,467,597,681,727,769,932,1113,1138,1397,1538,1815,1708,1892,2151,2640,3077,3035,3233,3709,4775,4452,5220,6056,6760,9160,10240,11190,12300,14510,28280,27810
Bihar,452,598,673,677,758,1231,1353,1431,1849,2027,2381,3073,3143,3434,3524,3796,4014,4375,5354,8338,7408,5783,6466,7023,6117,8663,11127,13815,16340,17870,19370,24050,30740,34920,67080,56140
Chhattisgarh,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,968,2435,2820,3244,3635,4295,5707,6947,8870,11680,11820,14810,16970,21050,30350,37350
Goa,–,–,–,–,–,–,91,86,122,136,162,181,192,216,223,257,292,350,415,470,518,543,626,686,798,880,1010,1124,1460,1790,2090,2300,2500,2920,3800,4680
Gujarat,406,472,643,669,841,1046,1252,1537,1590,1726,1993,2344,2456,2844,3273,3666,4068,4953,6609,7571,9681,9029,8177,8992,10127,10995,13104,14893,18180,23170,28590,30350,38060,41880,51980,57900
Haryana,137,173,235,242,281,369,360,488,650,695,776,781,955,1093,1304,1698,1628,1829,2474,2572,3387,3675,2810,2818,3497,4742,5605,7343,9810,13360,13640,16270,18990,18100,26670,30790
Himachal Pradesh,106,113,128,139,156,223,251,322,398,373,444,495,581,621,731,881,994,1242,1553,1701,1963,1912,1973,2348,2328,2804,3334,3736,4570,4910,6020,6000,7100,7890,9560,11320
Jammu & Kashmir,125,134,149,179,215,273,338,460,458,514,600,732,887,901,1047,1223,1393,1623,1496,1726,2044,2321,2518,2493,3104,4030,4348,5108,5610,6900,7430,8740,9120,9810,13540,14200
Jharkhand,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3727,4904,4320,5127,6156,7392,7984,9870,10040,12300,10720,12030,11710,24530,27360
Karnataka,348,400,485,525,658,1010,1150,1361,1441,1534,1842,2299,2557,3063,3449,3995,4526,4886,5851,6803,7541,7642,7570,8315,9764,11675,14407,17644,20440,25100,28690,32370,37830,41590,56740,57450
Kerala,391,424,441,557,618,918,942,976,1109,1197,1477,1594,1791,2061,2387,2691,3215,4239,4660,5432,5242,4932,6338,5924,7344,7524,7189,9010,10860,12030,13620,18740,21650,23950,31400,36570
Madhya Pradesh,397,456,547,677,773,1083,1237,1527,1810,1877,2439,2664,3020,3508,3854,4416,5267,5622,6887,7417,7153,6007,7158,6787,7268,9425,10658,12600,14690,17630,23450,27130,33370,35740,57530,59290
Maharashtra,754,847,1031,1282,1434,1968,2480,2603,2937,3446,3792,4601,5561,6204,6723,8361,9195,10609,11407,12844,15429,15452,15704,18877,20433,24268,28276,29721,36500,47360,53830,61130,70030,78200,100320,110020
Manipur,41,44,47,61,65,80,118,111,151,155,151,185,196,210,241,307,384,416,391,605,449,550,562,603,873,939,1041,1179,1450,1540,1930,2020,2050,2110,4520,3350
Meghalaya,30,35,40,54,54,70,79,91,119,130,160,189,198,238,216,288,314,338,390,502,578,565,570,640,741,767,873,1039,1220,1400,1750,2340,2310,2720,6440,3710
Mizoram,–,–,–,–,–,74,12,126,117,130,153,173,200,212,239,292,343,320,379,506,505,542,562,652,647,722,798,940,1150,1470,1600,1640,2120,2300,3190,2910
Nagaland,38,40,48,62,62,84,110,150,154,181,182,179,224,269,299,364,353,370,415,479,585,544,567,644,629,804,914,1053,1120,1170,1580,1610,1970,2150,3310,3810
