Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-01-03 00:00:00+05:30,8072.706225825752,8356.25274364022,8072.706225825752,8340.203125,0,0.0,0.0
2012-01-04 00:00:00+05:30,8388.852764959585,8453.30221173918,8294.25327772553,8408.302734375,0,0.0,0.0
2012-01-05 00:00:00+05:30,8421.401756828336,8516.05104328489,8394.152074720212,8454.8017578125,0,0.0,0.0
2012-01-06 00:00:00+05:30,8397.25203281805,8586.550614407524,8297.45338779661,8488.1513671875,0,0.0,0.0
2012-01-09 00:00:00+05:30,8450.302117732634,8517.700747981935,8329.803519072568,8481.2509765625,0,0.0,0.0
2012-01-10 00:00:00+05:30,8535.551146543721,8748.69808231613,8535.551146543721,8734.9482421875,0,0.0,0.0
2012-01-11 00:00:00+05:30,8758.148405746315,8858.847432953178,8736.148660942681,8839.59765625,0,0.0,0.0
2012-01-12 00:00:00+05:30,8831.347824932429,9015.145499091483,8830.147643532078,8930.146484375,0,0.0,0.0
2012-01-13 00:00:00+05:30,8989.795725539272,9072.894367425493,8913.846414478361,8974.9453125,0,0.0,0.0
2012-01-16 00:00:00+05:30,8913.14679699734,8967.846358957875,8813.747557290219,8940.146484375,0,0.0,0.0
2012-01-17 00:00:00+05:30,9013.5454232065,9114.344054041585,9011.694858819783,9056.5947265625,0,0.0,0.0
2012-01-18 00:00:00+05:30,9067.244608249648,9067.244608249648,8922.596869246776,9023.2958984375,0,0.0,0.0
2012-01-19 00:00:00+05:30,9106.694430846823,9212.743008442978,9106.694430846823,9199.2939453125,0,0.0,0.0
2012-01-20 00:00:00+05:30,9291.042656132484,9560.039536973147,9268.392528147548,9516.7392578125,0,0.0,0.0
2012-01-23 00:00:00+05:30,9502.989457183157,9658.888040737787,9502.989457183157,9520.189453125,0,0.0,0.0
2012-01-24 00:00:00+05:30,9535.939008654292,9885.03553851397,9456.140131132861,9833.8857421875,0,0.0,0.0
2012-01-25 00:00:00+05:30,9871.835759555837,9905.385175333628,9762.38683299122,9856.4853515625,0,0.0,0.0
2012-01-27 00:00:00+05:30,9969.133930581189,9969.133930581189,9701.387047925711,9813.5361328125,0,0.0,0.0
2012-01-30 00:00:00+05:30,9741.13628879407,9741.13628879407,9509.039388755806,9536.98828125,0,0.0,0.0
2012-01-31 00:00:00+05:30,9625.588373434866,9946.384451387086,9625.588373434866,9919.3349609375,0,0.0,0.0
2012-02-01 00:00:00+05:30,9941.785239634175,9967.334748393814,9761.88693268608,9948.984375,0,0.0,0.0
2012-02-02 00:00:00+05:30,10012.833741296348,10090.082842852577,9776.436100088291,9991.93359375,0,0.0,0.0
2012-02-03 00:00:00+05:30,9991.883487660716,10158.831736240048,9928.334423999677,10133.5322265625,0,0.0,0.0
2012-02-06 00:00:00+05:30,10219.481044778295,10331.130140070401,10183.332050109984,10269.130859375,0,0.0,0.0
2012-02-07 00:00:00+05:30,10368.379372071971,10429.578855376683,10260.031023244677,10324.4794921875,0,0.0,0.0
2012-02-08 00:00:00+05:30,10308.080216624066,10401.529324255724,10208.33137762928,10319.9794921875,0,0.0,0.0
2012-02-09 00:00:00+05:30,10267.130721909607,10546.277869550797,10267.130721909607,10507.4775390625,0,0.0,0.0
2012-02-10 00:00:00+05:30,10482.028838830065,10554.87760343558,10344.080243198281,10442.529296875,0,0.0,0.0
2012-02-13 00:00:00+05:30,10450.977801301095,10532.72684850087,10335.579732224374,10473.4775390625,0,0.0,0.0
2012-02-14 00:00:00+05:30,10449.328397948333,10606.725977384762,10448.977816097215,10556.52734375,0,0.0,0.0
2012-02-15 00:00:00+05:30,10633.5268875444,10959.372712383602,10633.026893351582,10930.5732421875,0,0.0,0.0
2012-02-16 00:00:00+05:30,10895.923152042504,10940.67263188098,10779.924500394161,10921.7734375,0,0.0,0.0
2012-02-17 00:00:00+05:30,11042.721076179914,11203.219208040935,11012.8718142393,11074.771484375,0,0.0,0.0
2012-02-21 00:00:00+05:30,11042.471212554437,11206.919495737278,11042.471212554437,11170.2705078125,0,0.0,0.0
2012-02-22 00:00:00+05:30,11160.270584118334,11226.619421781683,10713.925189680089,10747.025390625,0,0.0,0.0
2012-02-23 00:00:00+05:30,10693.625228682089,10852.523765307216,10621.67587286188,10713.224609375,0,0.0,0.0
2012-02-24 00:00:00+05:30,10691.625780895425,10758.924803678983,10435.42856217318,10506.677734375,0,0.0,0.0
2012-02-27 00:00:00+05:30,10527.528288971062,10527.528288971062,10073.783551648243,10103.8330078125,0,0.0,0.0
2012-02-28 00:00:00+05:30,10179.831665199797,10561.577220298825,10178.731092076954,10483.8779296875,0,0.0,0.0
2012-02-29 00:00:00+05:30,10561.627190577281,10667.175767957699,10340.629760310747,10414.0791015625,0,0.0,0.0
2012-03-01 00:00:00+05:30,10385.030135470291,10385.030135470291,10160.132349085985,10288.78125,0,0.0,0.0
2012-03-02 00:00:00+05:30,10337.580222635228,10584.1271660248,10192.681513630652,10434.1787109375,0,0.0,0.0
2012-03-05 00:00:00+05:30,10406.728798509836,10406.728798509836,10151.98175584746,10178.7314453125,0,0.0,0.0
2012-03-06 00:00:00+05:30,10149.68154938027,10437.878386872586,10020.333447057437,10058.033203125,0,0.0,0.0
2012-03-07 00:00:00+05:30,10030.133032401192,10169.331604432857,9939.834280743411,10132.7314453125,0,0.0,0.0
2012-03-09 00:00:00+05:30,10286.680277307463,10526.427491534443,10286.680277307463,10505.5283203125,0,0.0,0.0
