Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,5200.0,5325.0,5115.0,5245.0,4669.91943359375,233217000
2019-01-07,5230.0,5320.0,5150.0,5200.0,4629.8544921875,437807000
2019-01-14,5230.0,5600.0,5190.0,5545.0,4937.02685546875,462381000
2019-01-21,5600.0,5620.0,5355.0,5495.0,4892.5087890625,435848500
2019-01-28,5445.0,5750.0,5440.0,5500.0,4896.96142578125,461434500
2019-02-04,5500.0,5540.0,5460.0,5495.0,4892.5087890625,288601500
2019-02-11,5530.0,5530.0,5335.0,5480.0,4879.154296875,452068500
2019-02-18,5420.0,5595.0,5380.0,5490.0,4888.0576171875,304772000
2019-02-25,5500.0,5600.0,5495.0,5535.0,4928.12353515625,412831500
2019-03-04,5500.0,5570.0,5440.0,5505.0,4901.41259765625,177871500
2019-03-11,5540.0,5560.0,5450.0,5550.0,4941.478515625,183547000
2019-03-18,5540.0,5555.0,5440.0,5455.0,4856.89453125,186437000
2019-03-25,5480.0,5550.0,5425.0,5500.0,4896.96142578125,127907500
2019-04-01,5530.0,5570.0,5450.0,5480.0,4879.154296875,146788500
2019-04-08,5535.0,5570.0,5460.0,5505.0,4901.41259765625,161040500
2019-04-15,5495.0,5805.0,5475.0,5625.0,5008.2548828125,263187000
2019-04-22,5680.0,5710.0,5525.0,5685.0,5061.67724609375,288796500
2019-04-29,5670.0,5810.0,5595.0,5620.0,5049.54541015625,283381000
2019-05-06,5675.0,5710.0,5595.0,5610.0,5040.560546875,384726500
2019-05-13,5560.0,5630.0,5140.0,5380.0,4833.90673828125,403776000
2019-05-20,5470.0,5700.0,5340.0,5685.0,5107.9482421875,296782000
2019-05-27,5655.0,5895.0,5655.0,5820.0,5229.24462890625,439842500
2019-06-03,5820.0,6190.0,5810.0,5880.0,5283.15478515625,179238000
2019-06-10,5900.0,5960.0,5790.0,5795.0,5206.7822265625,361803500
2019-06-17,5795.0,5960.0,5795.0,5875.0,5278.66162109375,379470000
2019-06-24,5930.0,6025.0,5805.0,5990.0,5381.9892578125,314952500
2019-07-01,5990.0,6020.0,5865.0,5880.0,5283.15478515625,191511500
2019-07-08,5870.0,6115.0,5870.0,6105.0,5485.31591796875,225495000
2019-07-15,6080.0,6290.0,6045.0,6290.0,5651.5380859375,208475500
2019-07-22,6240.0,6290.0,6160.0,6190.0,5561.6884765625,264257500
2019-07-29,6205.0,6270.0,6000.0,6000.0,5390.97314453125,334496000
2019-08-05,5880.0,6120.0,5765.0,6040.0,5426.91357421875,434517000
2019-08-12,6000.0,6060.0,5860.0,6015.0,5404.451171875,299350000
2019-08-19,6035.0,6035.0,5860.0,5990.0,5381.9892578125,254681000
2019-08-26,6040.0,6100.0,5950.0,6000.0,5390.97314453125,347072500
2019-09-02,6000.0,6085.0,5980.0,6035.0,5422.42138671875,218634000
2019-09-09,6020.0,6105.0,5985.0,6005.0,5395.46630859375,231277000
2019-09-16,5990.0,6050.0,5985.0,6025.0,5413.43603515625,363357500
2019-09-23,5980.0,6075.0,5780.0,6070.0,5453.8681640625,399598500
2019-09-30,6010.0,6080.0,5950.0,6070.0,5453.8681640625,256298500
2019-10-07,6080.0,6200.0,6015.0,6200.0,5570.67333984375,232678500
2019-10-14,6190.0,6255.0,6105.0,6220.0,5588.6435546875,253358000
2019-10-21,6270.0,6325.0,6175.0,6205.0,5575.166015625,307758500
2019-10-28,6205.0,6380.0,6150.0,6275.0,5638.0595703125,284895000
2019-11-04,6350.0,6380.0,6250.0,6295.0,5656.0302734375,351774000
2019-11-11,6220.0,6290.0,6210.0,6280.0,5642.552734375,238318000
2019-11-18,6330.0,6350.0,6255.0,6275.0,5638.0595703125,272036500
2019-11-25,6330.0,6425.0,6225.0,6425.0,5772.8349609375,398728500
2019-12-02,6420.0,6420.0,6320.0,6395.0,5745.8798828125,256131000
2019-12-09,6395.0,6420.0,6340.0,6360.0,5732.515625,334828000
2019-12-16,6395.0,6800.0,6365.0,6660.0,6002.91748046875,504901000
2019-12-23,6660.0,6725.0,6660.0,6685.0,6025.451171875,129301500
2019-12-30,6685.0,6800.0,6680.0,6735.0,6070.5185546875,124500500
2020-01-06,6735.0,6825.0,6670.0,6745.0,6079.5322265625,280295500
2020-01-13,6745.0,7060.0,6740.0,6835.0,6160.65185546875,389941000
2020-01-20,6885.0,6940.0,6810.0,6840.0,6165.15869140625,395356500
2020-01-27,6835.0,6845.0,6370.0,6440.0,5804.6240234375,511359500
2020-02-03,6570.0,6785.0,6520.0,6785.0,6115.5849609375,540200000
2020-02-10,6785.0,6820.0,6675.0,6720.0,6056.998046875,459582500
2020-02-17,6685.0,6760.0,6510.0,6525.0,5881.2373046875,492926000
2020-02-24,6550.0,6560.0,6035.0,6080.0,5480.14111328125,623343500
2020-03-02,6200.0,6540.0,5785.0,5785.0,5214.24658203125,493996500
2020-03-09,5840.0,6010.0,5460.0,5560.0,5011.44482421875,356717000
2020-03-16,5495.0,5505.0,4325.0,4430.0,3992.931396484375,1209648000
2020-03-23,4450.0,5895.0,4450.0,5495.0,4952.85791015625,1015251500
2020-03-30,5660.0,5750.0,5360.0,5735.0,5169.17919921875,660783500
2020-04-06,5735.0,6100.0,5480.0,5500.0,4957.36474609375,403305000
2020-04-13,5505.0,5630.0,5185.0,5355.0,4826.669921875,619808000
2020-04-20,5355.0,5355.0,4855.0,4960.0,4470.6416015625,568367000
2020-04-27,4960.0,5300.0,4800.0,5220.0,4786.32666015625,590227500
2020-05-04,5220.0,5400.0,5150.0,5295.0,4855.095703125,368682500
2020-05-11,5340.0,5340.0,4680.0,4765.0,4369.12646484375,690688500
2020-05-18,4840.0,4960.0,4680.0,4765.0,4369.12646484375,247662500
2020-05-25,4775.0,5320.0,4775.0,5190.0,4758.81787109375,956477000
2020-06-01,5260.0,5990.0,5240.0,5900.0,5409.83154296875,958916500
2020-06-08,5940.0,5995.0,5480.0,5500.0,5043.0634765625,497568500
2020-06-15,5580.0,5800.0,5530.0,5540.0,5079.740234375,401012000
2020-06-22,5570.0,5760.0,5520.0,5675.0,5203.52490234375,284966000
2020-06-29,5700.0,5935.0,5660.0,5935.0,5441.92431640625,334037500
2020-07-06,5940.0,6265.0,5900.0,6175.0,5661.9853515625,427386000
2020-07-13,6175.0,6240.0,6040.0,6140.0,5629.89306640625,306747500
2020-07-20,6100.0,6250.0,6000.0,6100.0,5593.21630859375,313250500
2020-07-27,6120.0,6240.0,5825.0,6130.0,5620.72314453125,333154000
2020-08-03,6155.0,6295.0,6100.0,6120.0,5611.5546875,265404000
2020-08-10,6140.0,6405.0,6130.0,6405.0,5872.8779296875,180304500
2020-08-17,6405.0,6425.0,6280.0,6315.0,5790.3544921875,207239500
2020-08-24,6320.0,6600.0,6275.0,6275.0,5753.67724609375,309844500
2020-08-31,6280.0,6560.0,6200.0,6285.0,5762.84619140625,346582500
2020-09-07,6285.0,6360.0,5620.0,6050.0,5547.37060546875,805816500
2020-09-14,6040.0,6100.0,5570.0,5605.0,5139.34033203125,896803500
2020-09-21,5520.0,5695.0,5390.0,5515.0,5056.81787109375,546805000
2020-09-28,5575.0,5635.0,5420.0,5520.0,5061.40185546875,407187500
2020-10-05,5630.0,5875.0,5580.0,5855.0,5368.5703125,446446500
2020-10-12,5840.0,5900.0,5710.0,5900.0,5409.83154296875,359358000
2020-10-19,5880.0,5880.0,5705.0,5815.0,5331.8935546875,386592500
2020-10-26,5815.0,5830.0,5720.0,5820.0,5336.47802734375,240488500
2020-11-02,5840.0,6400.0,5785.0,6285.0,5762.84619140625,537911000
