,date,instrument,ROE,Free_Cash_Flow,PE_TTM,market_cap,amount,open,close
27,2022/2/17,000002.SZA,7.3822,-20577953792,6.003482,2.30183E+11,1526819219,3249.8665,3222.201
28,2022/2/18,000002.SZA,7.3822,-20577953792,6.2096624,2.38088E+11,2777835884,3205.9272,3332.8625
29,2022/2/21,000002.SZA,7.3822,-20577953792,6.2763677,2.40645E+11,1912526227,3303.5698,3368.6648
30,2022/2/22,000002.SZA,7.3822,-20577953792,6.2581754,2.39948E+11,1788757118,3337.7446,3358.9004
31,2022/2/23,000002.SZA,7.3822,-20577953792,6.1429567,2.3553E+11,1852695470,3360.5278,3297.0603
32,2022/2/24,000002.SZA,7.3822,-20577953792,6.01561,2.30648E+11,1752828027,3279.1592,3228.7104
33,2022/2/25,000002.SZA,7.3822,-20577953792,5.9216166,2.27044E+11,1758871460,3246.6116,3178.262
34,2022/2/28,000002.SZA,7.3822,-20577953792,5.8215585,2.23207E+11,1652652682,3173.38,3124.5586
35,2022/3/1,000002.SZA,7.3822,-20577953792,5.8761353,2.253E+11,1570307864,3126.186,3153.8513
36,2022/3/2,000002.SZA,7.3822,-20577953792,5.857943,2.24602E+11,1727309496,3158.7334,3144.087
37,2022/3/3,000002.SZA,7.3822,-20577953792,5.909488,2.26579E+11,2574130001,3148.9692,3171.7524
38,2022/3/4,000002.SZA,7.3822,-20577953792,5.6729875,2.17511E+11,3984274057,3140.8323,3044.8171
39,2022/3/7,000002.SZA,7.3822,-20577953792,5.6214423,2.15535E+11,2216789146,3017.1519,3017.1519
40,2022/3/8,000002.SZA,7.3822,-20577953792,5.3576527,2.05421E+11,2844612857,3002.5054,2875.5703
41,2022/3/9,000002.SZA,7.3822,-20577953792,5.148441,1.97399E+11,3907216502,2891.844,2763.2815
42,2022/3/10,000002.SZA,7.3822,-20577953792,5.0847673,1.94958E+11,1796610781,2795.8289,2729.1067
43,2022/3/11,000002.SZA,7.3822,-20577953792,5.0483828,1.93563E+11,1676581384,2660.7568,2709.5781
44,2022/3/14,000002.SZA,7.3822,-20577953792,4.8785872,1.87052E+11,1852414494,2665.639,2618.445
45,2022/3/15,000002.SZA,7.3822,-20577953792,4.487451,1.72056E+11,3215504868,2571.2512,2408.514
46,2022/3/16,000002.SZA,7.3822,-20577953792,4.702728,1.8031E+11,3180485804,2473.609,2524.0574
47,2022/3/17,000002.SZA,7.3822,-20577953792,5.057479,1.93911E+11,3669244186,2670.5212,2714.4602
48,2022/3/18,000002.SZA,7.3822,-20577953792,5.2909474,2.02863E+11,3126922096,2675.4033,2839.768
49,2022/3/21,000002.SZA,7.3822,-20577953792,5.0938635,1.95306E+11,2379849481,2812.1028,2733.9888
50,2022/3/22,000002.SZA,7.3822,-20577953792,5.330364,2.04374E+11,3421100900,2694.9316,2860.9238
51,2022/3/23,000002.SZA,7.3822,-20577953792,5.4304223,2.08211E+11,3232947128,2872.3154,2914.6272
52,2022/3/24,000002.SZA,7.3822,-20577953792,5.3000436,2.03212E+11,1880966654,2860.9238,2844.6501
