Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2017-01-17,19.54,19.54,19.54,19.54,256,EUR,YAST,spain
2017-05-09,23.0,23.0,23.0,23.0,1500,EUR,YAST,spain
2018-06-20,33.6,33.6,33.6,33.6,1500,EUR,YAST,spain
2018-08-15,33.6,33.6,33.6,33.6,1500,EUR,YAST,spain
2018-08-20,33.6,33.6,33.6,33.6,6000,EUR,YAST,spain
2019-09-13,28.3494,28.3494,28.3494,28.6972,155,EUR,YAST,spain
2019-09-16,28.3494,28.3494,28.3494,28.6972,45,EUR,YAST,spain
