Country Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
IND,10.77463133,-1.061145746,4.476508261,5.118236741,7.774707244,7.320986685,7.94709992,8.681673585,9.093224145,6.560180094,7.638632996,7.435843248,5.269526998,3.624716596,9.132749406,5.814776512,4.337109738,5.864178109,7.7929943,6.909578995,5.121276329,9.191247322,8.342610831,8.591449296,7.907177189,7.30788116,4.910128302,4.855145174,2.570606701,5.681844064,3.77175625,4.808592109,-1.983859223,1.317979709,2.473521635,3.865992881,6.695176086,7.556488421,6.232711412,5.327608868,5.361666382,6.894875426,4.203910407,0.147236062
USA,1.88990329,4.03454769,5.716390483,8.594619798,8.177347436,6.618160219,8.141088111,6.563326569,6.193860265,5.592237906,5.590382201,6.690686925,6.039749199,4.915346478,3.884238043,3.545617239,4.898309951,6.59399638,6.324073707,6.603364861,7.148178448,6.493426418,6.813424288,4.565847929,3.068642849,2.107310811,1.612310954,2.96050633,4.726089653,5.206759376,3.109920825,2.592428971,2.023885488,1.148425191,1.3540752,1.473254279,1.354775792,2.237075495,2.484530342,2.156099051,2.441415026,3.427089888,2.21041068,-1.189356901
