"Date","Price","Open","High","Low","Vol.","Change %"
"05/12/2024","83.302","83.547","83.618","83.260","","-0.29%"
"05/05/2024","83.541","83.391","83.560","83.390","","0.20%"
"04/28/2024","83.376","83.403","83.591","83.308","","-0.03%"
"04/21/2024","83.400","83.423","83.457","83.251","","0.05%"
"04/14/2024","83.358","83.481","83.747","83.362","","-0.22%"
"04/07/2024","83.540","83.344","83.622","83.147","","0.30%"
"03/31/2024","83.293","83.343","83.585","83.241","","-0.07%"
"03/24/2024","83.350","83.465","83.548","83.254","","-0.28%"
"03/17/2024","83.582","82.891","83.733","82.825","","0.84%"
"03/10/2024","82.883","82.754","82.995","82.645","","0.17%"
"03/03/2024","82.739","82.845","82.942","82.659","","-0.12%"
"02/25/2024","82.841","82.873","82.967","82.832","","-0.02%"
"02/18/2024","82.859","82.987","83.061","82.812","","-0.19%"
"02/11/2024","83.013","83.025","83.127","82.951","","0.02%"
"02/04/2024","83.000","83.011","83.100","82.893","","0.00%"
"01/28/2024","82.999","83.149","83.177","82.826","","-0.14%"
"01/21/2024","83.115","83.077","83.192","83.054","","0.03%"
"01/14/2024","83.086","82.835","83.217","82.775","","0.28%"
"01/07/2024","82.857","83.124","83.188","82.779","","-0.30%"
"12/31/2023","83.103","83.240","83.359","83.067","","-0.10%"
"12/24/2023","83.190","83.179","83.368","83.099","","0.03%"
"12/17/2023","83.166","83.018","83.291","82.910","","0.18%"
"12/10/2023","83.020","83.409","83.451","82.927","","-0.49%"
"12/03/2023","83.425","83.217","83.465","83.215","","0.20%"
"11/26/2023","83.260","83.324","83.433","83.240","","-0.10%"
"11/19/2023","83.340","83.265","83.424","83.225","","0.12%"
"11/12/2023","83.244","83.309","83.343","82.906","","-0.08%"
"11/05/2023","83.309","83.107","83.499","83.085","","0.20%"
"10/29/2023","83.140","83.280","83.337","83.134","","-0.15%"
"10/22/2023","83.265","83.160","83.301","82.956","","0.14%"
"10/15/2023","83.150","83.264","83.310","83.012","","-0.13%"
"10/08/2023","83.255","83.187","83.348","83.110","","0.17%"
"10/01/2023","83.118","83.165","83.346","83.118","","0.11%"
"09/24/2023","83.030","83.057","83.316","83.012","","0.07%"
"09/17/2023","82.970","83.106","83.360","82.769","","-0.12%"
"09/10/2023","83.069","82.955","83.202","82.815","","0.08%"
"09/03/2023","83.004","82.670","83.271","82.650","","0.38%"
"08/27/2023","82.689","82.585","82.842","82.527","","0.06%"
"08/20/2023","82.637","83.193","83.217","82.359","","-0.61%"
"08/13/2023","83.140","82.895","83.467","82.895","","0.29%"
"08/06/2023","82.898","82.739","82.984","82.589","","0.24%"
"07/30/2023","82.696","82.225","82.892","82.225","","0.54%"
"07/23/2023","82.253","82.033","82.377","81.690","","0.32%"
"07/16/2023","81.990","82.132","82.215","81.897","","-0.11%"
"07/09/2023","82.077","82.668","82.712","81.943","","-0.65%"
"07/02/2023","82.615","82.036","82.815","81.755","","0.63%"
"06/25/2023","82.096","81.950","82.128","81.920","","0.14%"
"06/18/2023","81.985","81.976","82.172","81.867","","0.09%"
"06/11/2023","81.915","82.438","82.497","81.825","","-0.64%"
"06/04/2023","82.445","82.434","82.685","82.394","","0.05%"
"05/28/2023","82.403","82.566","82.793","82.257","","-0.21%"
"05/21/2023","82.575","82.798","82.895","82.522","","-0.40%"
"05/14/2023","82.905","82.246","82.953","82.180","","0.86%"
"05/07/2023","82.201","81.709","82.252","81.672","","0.58%"
"04/30/2023","81.725","81.815","81.970","81.670","","-0.02%"
"04/23/2023","81.745","82.093","82.132","81.601","","-0.38%"
"04/16/2023","82.055","81.913","82.364","81.864","","0.26%"
"04/09/2023","81.845","81.843","82.170","81.567","","-0.05%"
"04/02/2023","81.885","82.387","82.497","81.785","","-0.37%"
"03/26/2023","82.185","82.370","82.450","82.034","","-0.19%"
"03/19/2023","82.339","82.495","82.724","82.032","","-0.24%"
"03/12/2023","82.540","81.692","82.912","81.692","","0.70%"
"03/05/2023","81.965","81.754","82.300","81.595","","0.31%"
"02/26/2023","81.710","82.887","82.978","81.710","","-1.47%"
"02/19/2023","82.925","82.719","83.027","82.562","","0.19%"
"02/12/2023","82.765","82.567","83.034","82.566","","0.30%"
"02/05/2023","82.520","82.393","82.888","82.320","","0.35%"
"01/29/2023","82.233","81.548","82.338","81.458","","0.88%"
"01/22/2023","81.515","80.908","81.780","80.864","","0.66%"
"01/15/2023","80.984","81.227","81.893","80.961","","-0.37%"
"01/08/2023","81.285","82.211","82.447","81.105","","-1.20%"
"01/01/2023","82.275","82.665","83.016","82.275","","-0.57%"
"12/25/2022","82.745","82.797","82.956","82.540","","-0.05%"
"12/18/2022","82.790","82.760","82.971","82.552","","0.07%"
"12/11/2022","82.733","82.435","82.993","82.380","","0.38%"
"12/04/2022","82.420","81.260","82.775","81.190","","1.21%"
"11/27/2022","81.438","81.818","81.860","81.008","","-0.34%"
"11/20/2022","81.713","81.671","81.950","81.445","","0.08%"
"11/13/2022","81.644","80.528","81.856","80.528","","1.41%"
"11/06/2022","80.505","82.077","82.347","80.483","","-1.80%"
"10/30/2022","81.982","82.379","82.989","81.978","","-0.35%"
"10/23/2022","82.268","82.606","82.871","81.946","","-0.33%"
"10/16/2022","82.541","82.413","83.275","82.011","","0.21%"
"10/09/2022","82.367","82.707","82.722","82.111","","-0.56%"
"10/02/2022","82.832","81.517","82.832","81.278","","1.61%"
"09/25/2022","81.522","81.323","82.017","81.154","","0.33%"
"09/18/2022","81.255","79.691","81.271","79.574","","1.95%"
"09/11/2022","79.698","79.660","79.870","79.011","","0.05%"
"09/04/2022","79.655","79.920","79.977","79.454","","-0.08%"
"08/28/2022","79.722","79.979","80.135","79.278","","-0.31%"
"08/21/2022","79.971","79.886","80.004","79.675","","0.06%"
"08/14/2022","79.925","79.648","79.925","79.143","","0.34%"
"08/07/2022","79.651","79.410","79.755","79.011","","0.36%"
"07/31/2022","79.365","79.175","79.818","78.385","","0.02%"
"07/24/2022","79.351","79.772","79.989","79.175","","-0.62%"
"07/17/2022","79.845","79.803","80.080","79.702","","0.08%"
"07/10/2022","79.785","79.275","80.235","79.275","","0.62%"
"07/03/2022","79.290","78.984","79.440","78.871","","0.42%"
"06/26/2022","78.956","78.291","79.159","78.204","","0.90%"
"06/19/2022","78.255","78.000","78.415","77.876","","0.39%"
"06/12/2022","77.952","78.185","78.323","77.905","","-0.25%"
"06/05/2022","78.144","77.689","78.208","77.565","","0.68%"
"05/29/2022","77.615","77.601","77.745","77.383","","-0.01%"
"05/22/2022","77.624","77.678","77.738","77.445","","-0.31%"
"05/15/2022","77.865","77.505","77.903","77.367","","0.50%"
"05/08/2022","77.480","76.982","77.640","76.982","","0.65%"
"05/01/2022","76.979","76.523","77.079","76.007","","0.58%"
"04/24/2022","76.535","76.543","76.804","76.264","","0.08%"
"04/17/2022","76.475","76.300","76.560","76.073","","0.19%"
"04/10/2022","76.332","75.966","76.365","75.805","","0.49%"
"04/03/2022","75.960","75.922","76.077","75.260","","-0.05%"
"03/27/2022","75.995","76.332","76.402","75.561","","-0.38%"
"03/20/2022","76.285","76.034","76.525","75.973","","0.29%"
"03/13/2022","76.065","76.649","76.715","75.745","","-0.58%"
"03/06/2022","76.511","76.678","77.186","76.078","","0.11%"
"02/27/2022","76.425","75.755","76.438","75.270","","1.80%"
"02/20/2022","75.075","74.582","75.835","74.341","","0.52%"
"02/13/2022","74.687","75.560","75.738","74.469","","-0.88%"
"02/06/2022","75.348","74.699","75.530","74.599","","0.94%"
"01/30/2022","74.645","75.013","75.055","74.410","","-0.53%"
"01/23/2022","75.046","74.358","75.320","74.293","","0.86%"
"01/16/2022","74.409","74.192","74.747","74.147","","0.34%"
"01/09/2022","74.156","74.215","74.235","73.745","","-0.16%"
"01/02/2022","74.278","74.465","74.710","74.246","","-0.28%"
"12/26/2021","74.486","75.018","75.189","74.106","","-0.69%"
"12/19/2021","75.004","76.048","76.207","74.998","","-1.33%"
"12/12/2021","76.013","75.697","76.435","75.593","","0.39%"
"12/05/2021","75.718","75.202","75.885","75.202","","0.63%"
"11/28/2021","75.241","74.826","75.349","74.797","","0.23%"
"11/21/2021","75.065","74.355","75.105","74.306","","0.96%"
"11/14/2021","74.350","74.361","74.547","74.027","","0.00%"
"11/07/2021","74.347","74.212","74.595","73.834","","0.21%"
"10/31/2021","74.191","74.947","75.057","74.171","","-0.99%"
"10/24/2021","74.935","74.959","75.197","74.755","","-0.09%"
"10/17/2021","74.999","75.026","75.394","74.672","","-0.04%"
"10/10/2021","75.030","75.117","75.682","74.882","","-0.13%"
"10/03/2021","75.131","74.147","75.197","74.135","","1.32%"
"09/26/2021","74.150","73.700","74.389","73.625","","0.45%"
"09/19/2021","73.821","73.826","73.938","73.558","","0.24%"
"09/12/2021","73.645","73.545","73.787","73.335","","0.16%"
"09/05/2021","73.524","72.998","73.879","72.972","","0.72%"
"08/29/2021","72.997","73.464","73.565","72.918","","-0.65%"
"08/22/2021","73.475","74.251","74.311","73.454","","-1.18%"
"08/15/2021","74.352","74.227","74.483","74.118","","0.15%"
"08/08/2021","74.242","74.238","74.507","74.101","","0.00%"
"08/01/2021","74.242","74.342","74.432","74.041","","-0.14%"
"07/25/2021","74.344","74.439","74.547","74.222","","-0.11%"
"07/18/2021","74.427","74.676","75.028","74.303","","-0.25%"
"07/11/2021","74.610","74.526","74.674","74.400","","0.17%"
"07/04/2021","74.487","74.526","74.867","74.236","","-0.04%"
"06/27/2021","74.518","74.160","74.887","74.160","","0.40%"
"06/20/2021","74.220","74.102","74.418","74.051","","0.13%"
"06/13/2021","74.120","73.272","74.301","73.117","","1.19%"
"06/06/2021","73.245","72.898","73.262","72.743","","0.51%"
"05/30/2021","72.870","72.380","73.333","72.350","","0.64%"
"05/23/2021","72.410","72.866","72.988","72.320","","-0.57%"
"05/16/2021","72.827","73.286","73.340","72.760","","-0.65%"
"05/09/2021","73.300","73.283","73.662","73.189","","0.06%"
"05/02/2021","73.254","74.252","74.327","73.248","","-1.08%"
"04/25/2021","74.055","74.728","74.919","73.945","","-1.17%"
"04/18/2021","74.930","74.556","75.571","74.515","","0.52%"
"04/11/2021","74.540","74.968","75.547","74.292","","-0.26%"
"04/04/2021","74.734","73.324","74.987","73.218","","1.84%"
"03/28/2021","73.385","72.539","73.638","72.488","","1.06%"
"03/21/2021","72.615","72.445","72.728","72.268","","0.28%"
"03/14/2021","72.413","72.668","72.796","72.326","","-0.38%"
"03/07/2021","72.690","73.205","73.409","72.580","","-0.68%"
"02/28/2021","73.190","73.593","73.790","72.602","","-1.01%"
"02/21/2021","73.937","72.563","74.072","72.275","","1.90%"
"02/14/2021","72.560","72.608","72.971","72.417","","-0.05%"
"02/07/2021","72.595","72.815","73.014","72.565","","-0.30%"
"01/31/2021","72.815","72.903","73.195","72.770","","-0.12%"
"01/24/2021","72.906","72.977","73.210","72.810","","-0.11%"
"01/17/2021","72.985","73.126","73.325","72.883","","-0.20%"
"01/10/2021","73.130","73.431","73.591","72.922","","-0.29%"
"01/03/2021","73.340","73.089","73.495","72.827","","0.29%"
"12/27/2020","73.125","73.561","73.612","72.942","","-0.59%"
"12/20/2020","73.558","73.575","74.105","73.504","","-0.02%"
"12/13/2020","73.575","73.741","73.741","73.367","","-0.22%"
"12/06/2020","73.738","73.805","73.977","73.502","","-0.05%"
"11/29/2020","73.776","73.951","74.028","73.410","","-0.22%"
"11/22/2020","73.935","74.120","74.271","73.712","","-0.25%"
"11/15/2020","74.120","74.598","74.640","74.062","","-0.62%"
"11/08/2020","74.582","73.995","74.769","73.650","","0.82%"
"11/01/2020","73.976","74.567","74.997","73.842","","-0.79%"
"10/25/2020","74.567","73.853","74.716","73.606","","0.98%"
"10/18/2020","73.842","73.455","73.899","73.284","","0.54%"
"10/11/2020","73.444","73.015","73.520","73.015","","0.58%"
"10/04/2020","73.020","73.303","73.615","72.966","","-0.38%"
"09/27/2020","73.295","73.688","73.915","73.004","","-0.53%"
