"Date","Price","Open","High","Low","Vol.","Change %"
"09/20/2020","73.685","73.548","74.062","73.270","","0.20%"
"09/13/2020","73.540","73.480","73.781","73.143","","0.14%"
"09/06/2020","73.440","73.299","73.976","73.035","","0.20%"
"08/30/2020","73.291","73.114","73.702","72.751","","0.24%"
"08/23/2020","73.115","74.922","74.922","73.115","","-2.41%"
"08/16/2020","74.922","74.875","75.131","74.571","","0.03%"
"08/09/2020","74.903","75.052","75.052","74.550","","-0.16%"
"08/02/2020","75.025","74.929","75.320","74.759","","0.14%"
"07/26/2020","74.918","74.760","74.955","74.662","","0.21%"
"07/19/2020","74.760","74.906","75.035","74.510","","-0.18%"
"07/12/2020","74.898","75.207","75.542","74.898","","-0.39%"
"07/05/2020","75.195","74.639","75.333","74.485","","0.75%"
"06/28/2020","74.636","75.620","75.652","74.567","","-1.30%"
"06/21/2020","75.620","76.268","76.303","75.435","","-0.84%"
"06/14/2020","76.260","76.058","76.400","75.780","","0.28%"
"06/07/2020","76.050","75.580","76.260","75.401","","0.65%"
"05/31/2020","75.560","75.470","75.770","74.962","","-0.06%"
"05/24/2020","75.605","75.963","76.122","75.400","","-0.45%"
"05/17/2020","75.950","75.838","76.070","75.386","","0.16%"
"05/10/2020","75.830","75.546","75.978","75.034","","0.39%"
"05/03/2020","75.535","75.773","76.168","75.285","","-0.28%"
"04/26/2020","75.749","76.272","76.448","74.910","","-0.68%"
"04/19/2020","76.270","76.558","77.018","75.825","","-0.37%"
"04/12/2020","76.550","75.887","76.922","75.887","","0.88%"
"04/05/2020","75.879","76.248","76.559","75.528","","-0.47%"
"03/29/2020","76.240","75.125","76.430","75.077","","1.02%"
"03/22/2020","75.472","75.368","76.379","74.353","","0.10%"
"03/15/2020","75.399","74.005","75.399","73.859","","2.11%"
"03/08/2020","73.840","73.971","74.576","73.531","","-0.22%"
"03/01/2020","74.004","72.519","74.073","72.027","","2.02%"
"02/23/2020","72.539","71.905","72.574","71.534","","0.92%"
"02/16/2020","71.880","71.420","72.056","71.250","","0.49%"
"02/09/2020","71.529","71.392","71.597","71.175","","0.02%"
"02/02/2020","71.515","71.535","71.665","71.100","","-0.06%"
"01/26/2020","71.555","71.480","71.665","71.170","","0.32%"
"01/19/2020","71.330","71.070","71.465","71.010","","0.35%"
"01/12/2020","71.079","70.798","71.099","70.675","","0.17%"
"01/05/2020","70.960","72.018","72.130","70.848","","-1.13%"
"12/29/2019","71.770","71.340","71.844","71.230","","0.44%"
"12/22/2019","71.455","71.118","71.505","71.115","","0.56%"
"12/15/2019","71.060","70.760","71.256","70.760","","0.37%"
"12/08/2019","70.798","71.293","71.293","70.503","","-0.68%"
"12/01/2019","71.283","71.795","71.835","71.170","","-0.65%"
"11/24/2019","71.749","71.693","71.872","71.226","","-0.06%"
"11/17/2019","71.792","71.666","72.011","71.566","","0.20%"
"11/10/2019","71.650","71.370","72.250","71.290","","0.41%"
"11/03/2019","71.360","70.560","71.364","70.560","","0.85%"
"10/27/2019","70.760","70.819","71.065","70.681","","-0.08%"
"10/20/2019","70.820","71.080","71.090","70.720","","-0.38%"
"10/13/2019","71.090","70.893","71.730","70.740","","0.23%"
"10/06/2019","70.924","70.961","71.234","70.799","","0.14%"
"09/29/2019","70.825","70.425","71.365","70.358","","0.45%"
"09/22/2019","70.509","71.026","71.154","70.364","","-0.80%"
"09/15/2019","71.075","71.685","71.987","70.685","","0.13%"
"09/08/2019","70.985","71.715","72.012","70.847","","-0.92%"
"09/01/2019","71.645","71.465","72.418","71.465","","0.27%"
"08/25/2019","71.453","71.917","72.257","71.357","","-0.08%"
"08/18/2019","71.513","71.221","72.061","71.070","","0.50%"
"08/11/2019","71.155","71.002","71.817","70.845","","0.33%"
"08/04/2019","70.924","70.118","71.198","70.118","","1.76%"
"07/28/2019","69.700","68.905","69.700","68.657","","1.19%"
"07/21/2019","68.880","68.955","69.151","68.816","","0.03%"
"07/14/2019","68.860","68.540","69.010","68.482","","0.44%"
"07/07/2019","68.560","68.579","68.853","68.280","","0.16%"
"06/30/2019","68.450","68.949","69.095","68.385","","-0.73%"
"06/23/2019","68.950","69.619","69.620","68.866","","-0.96%"
"06/16/2019","69.615","69.805","69.977","69.329","","-0.31%"
"06/09/2019","69.833","69.380","69.865","69.272","","0.69%"
"06/02/2019","69.355","69.617","69.621","69.035","","-0.32%"
"05/26/2019","69.580","69.405","70.008","69.355","","0.29%"
"05/19/2019","69.380","69.395","70.070","69.363","","-1.28%"
"05/12/2019","70.280","70.007","70.644","69.958","","0.38%"
"05/05/2019","70.015","69.316","70.282","69.286","","1.33%"
"04/28/2019","69.095","69.879","69.918","69.095","","-1.08%"
"04/21/2019","69.850","69.366","70.335","69.366","","0.64%"
"04/14/2019","69.407","69.164","69.685","69.035","","0.31%"
"04/07/2019","69.190","69.340","69.740","68.837","","0.03%"
"03/31/2019","69.170","69.351","69.419","68.390","","-0.02%"
"03/24/2019","69.185","69.154","69.360","68.772","","0.02%"
"03/17/2019","69.170","68.964","69.175","68.355","","0.30%"
"03/10/2019","68.963","70.042","70.055","68.935","","-1.50%"
"03/03/2019","70.012","70.822","70.988","69.827","","-1.39%"
"02/24/2019","71.000","71.027","71.491","70.713","","-0.05%"
"02/17/2019","71.035","71.334","71.607","70.925","","-0.41%"
"02/10/2019","71.330","71.240","71.464","70.402","","0.22%"
"02/03/2019","71.175","71.474","71.850","71.015","","-0.36%"
"01/27/2019","71.435","70.925","71.485","70.870","","0.75%"
"01/20/2019","70.900","71.204","71.537","70.890","","-0.44%"
"01/13/2019","71.210","70.400","71.422","70.360","","1.15%"
"01/06/2019","70.399","69.526","70.661","69.250","","1.22%"
"12/30/2018","69.550","69.783","70.531","69.440","","-0.55%"
"12/23/2018","69.933","70.162","70.404","69.762","","-0.30%"
"12/16/2018","70.140","71.900","71.900","69.648","","-2.47%"
"12/09/2018","71.920","71.360","72.637","71.240","","1.50%"
"12/02/2018","70.860","69.880","71.150","69.880","","1.74%"
"11/25/2018","69.650","70.495","71.035","69.570","","-1.42%"
"11/18/2018","70.655","71.925","72.082","70.655","","-1.84%"
"11/11/2018","71.980","72.735","73.067","71.715","","-0.69%"
"11/04/2018","72.480","72.808","73.135","72.375","","0.06%"
"10/28/2018","72.440","73.355","74.135","72.430","","-1.39%"
"10/21/2018","73.460","73.305","73.828","73.095","","0.12%"
"10/14/2018","73.375","73.797","74.065","73.295","","-0.32%"
"10/07/2018","73.610","73.875","74.490","73.530","","-0.22%"
"09/30/2018","73.770","72.605","74.250","72.605","","1.74%"
"09/23/2018","72.510","72.480","72.965","72.340","","0.37%"
"09/16/2018","72.240","72.530","72.990","71.760","","0.50%"
"09/09/2018","71.880","72.140","72.920","71.535","","0.13%"
"09/02/2018","71.790","70.795","72.105","70.730","","1.11%"
"08/26/2018","71.005","69.765","71.025","69.705","","1.48%"
"08/19/2018","69.970","69.820","70.240","69.535","","-0.19%"
"08/12/2018","70.100","69.490","70.420","69.410","","1.76%"
"08/05/2018","68.890","68.575","69.025","68.455","","0.50%"
"07/29/2018","68.545","68.705","68.845","68.265","","-0.09%"
"07/22/2018","68.605","68.705","69.088","68.535","","-0.20%"
"07/15/2018","68.740","68.560","69.132","68.280","","0.35%"
"07/08/2018","68.500","68.570","68.900","68.335","","-0.44%"
"07/01/2018","68.805","68.490","69.030","68.335","","0.50%"
"06/24/2018","68.460","67.910","69.100","67.910","","0.87%"
"06/17/2018","67.870","68.160","68.390","67.715","","-0.28%"
"06/10/2018","68.060","67.445","68.065","67.275","","0.78%"
"06/03/2018","67.530","66.915","67.795","66.840","","0.80%"
"05/27/2018","66.995","67.505","67.990","66.995","","-1.09%"
"05/20/2018","67.730","68.110","68.485","67.718","","-0.38%"
"05/13/2018","67.990","67.252","68.143","67.215","","0.94%"
"05/06/2018","67.360","66.825","67.477","66.785","","0.81%"
"04/29/2018","66.820","66.600","66.920","66.350","","0.30%"
"04/22/2018","66.620","66.210","66.980","66.150","","0.62%"
"04/15/2018","66.210","65.330","66.210","65.320","","1.46%"
"04/08/2018","65.255","64.865","65.445","64.850","","0.50%"
"04/01/2018","64.930","65.120","65.185","64.890","","-0.28%"
"03/25/2018","65.115","64.895","65.295","64.727","","0.19%"
"03/18/2018","64.990","65.045","65.250","64.982","","0.00%"
"03/11/2018","64.990","64.970","65.075","64.810","","-0.21%"
"03/04/2018","65.125","65.055","65.195","64.855","","-0.15%"
"02/25/2018","65.220","64.660","65.320","64.630","","0.79%"
"02/18/2018","64.710","64.510","65.110","64.420","","0.77%"
"02/11/2018","64.215","64.285","64.345","63.815","","-0.25%"
"02/04/2018","64.375","64.235","64.438","64.005","","0.38%"
"01/28/2018","64.130","63.610","64.200","63.490","","0.85%"
"01/21/2018","63.590","63.890","64.010","63.460","","-0.38%"
"01/14/2018","63.830","63.465","64.130","63.340","","0.35%"
"01/07/2018","63.610","63.340","63.855","63.250","","0.43%"
"12/31/2017","63.340","63.860","63.870","63.323","","-0.78%"
"12/24/2017","63.840","64.040","64.280","63.790","","-0.28%"
"12/17/2017","64.020","64.160","64.730","63.945","","-0.09%"
"12/10/2017","64.080","64.460","64.560","64.015","","-0.62%"
"12/03/2017","64.480","64.560","64.610","64.230","","-0.06%"
"11/26/2017","64.520","64.720","64.833","64.280","","-0.25%"
"11/19/2017","64.680","64.980","65.130","64.555","","-0.52%"
"11/12/2017","65.015","65.365","65.545","64.625","","-0.27%"
"11/05/2017","65.190","64.670","65.208","64.615","","0.98%"
"10/29/2017","64.560","64.890","64.960","64.480","","-0.74%"
"10/22/2017","65.040","65.075","65.200","64.725","","0.00%"
"10/15/2017","65.040","64.750","65.165","64.695","","0.53%"
"10/08/2017","64.700","65.375","65.430","64.700","","-1.07%"
"10/01/2017","65.400","65.600","65.642","64.955","","0.14%"
"09/24/2017","65.310","64.845","65.895","64.725","","0.79%"
"09/17/2017","64.795","64.055","65.155","64.002","","1.07%"
"09/10/2017","64.110","63.905","64.175","63.837","","0.51%"
"09/03/2017","63.785","63.945","64.262","63.780","","-0.37%"
"08/27/2017","64.025","63.890","64.060","63.855","","0.03%"
"08/20/2017","64.005","64.075","64.157","64.005","","-0.14%"
"08/13/2017","64.095","63.985","64.328","63.935","","-0.07%"
"08/06/2017","64.140","63.715","64.270","63.620","","0.73%"
"07/30/2017","63.675","64.161","64.294","63.611","","-0.69%"
"07/23/2017","64.115","64.415","64.465","64.065","","-0.42%"
"07/16/2017","64.385","64.355","64.460","64.245","","-0.06%"
"07/09/2017","64.424","64.608","64.638","64.424","","-0.31%"
"07/02/2017","64.625","64.675","64.930","64.540","","0.01%"
"06/25/2017","64.620","64.465","64.840","64.405","","0.18%"
"06/18/2017","64.505","64.445","64.700","64.340","","0.06%"
"06/11/2017","64.465","64.355","64.750","64.245","","0.34%"
"06/04/2017","64.245","64.320","64.515","64.167","","-0.26%"
"05/28/2017","64.415","64.495","64.707","64.345","","-0.15%"
"05/21/2017","64.510","64.505","64.955","64.425","","-0.09%"
"05/14/2017","64.565","64.110","65.025","63.985","","0.50%"
"05/07/2017","64.243","64.245","64.700","64.195","","-0.11%"
"04/30/2017","64.315","64.285","64.395","64.115","","0.04%"
"04/23/2017","64.290","64.553","64.558","63.940","","-0.56%"
"04/16/2017","64.650","64.440","64.738","64.305","","0.26%"
"04/09/2017","64.480","64.320","64.745","64.278","","0.33%"
"04/02/2017","64.270","64.804","65.174","64.154","","-0.91%"
"03/26/2017","64.860","65.280","65.280","64.800","","-0.86%"
"03/19/2017","65.425","65.425","65.590","65.225","","-0.08%"
"03/12/2017","65.475","66.155","66.265","65.255","","-1.62%"
"03/05/2017","66.555","66.800","66.880","66.555","","-0.34%"
"02/26/2017","66.780","66.740","66.920","66.650","","0.20%"
"02/19/2017","66.645","67.085","67.085","66.615","","-0.65%"
"02/12/2017","67.080","66.920","67.167","66.800","","0.34%"
"02/05/2017","66.854","67.241","67.486","66.741","","-0.49%"
"01/29/2017","67.184","68.105","68.119","67.184","","-1.35%"
"01/22/2017","68.105","68.096","68.255","67.980","","0.04%"
"01/15/2017","68.075","68.183","68.335","67.870","","-0.15%"
"01/08/2017","68.180","68.126","68.511","67.960","","0.10%"
"01/01/2017","68.115","67.970","68.455","67.745","","0.24%"
"12/25/2016","67.955","67.841","68.261","67.705","","0.17%"
"12/18/2016","67.837","67.850","68.111","67.708","","-0.03%"
"12/11/2016","67.855","67.471","67.950","67.370","","0.57%"
"12/04/2016","67.470","68.026","68.280","67.318","","-0.82%"
"11/27/2016","68.031","68.519","68.810","68.010","","-0.71%"
"11/20/2016","68.519","68.185","68.881","68.020","","0.48%"
"11/13/2016","68.191","67.520","68.250","67.460","","0.93%"
"11/06/2016","67.565","66.820","67.565","66.252","","1.15%"
"10/30/2016","66.796","66.779","66.870","66.630","","0.03%"
"10/23/2016","66.778","66.919","66.960","66.691","","-0.22%"
"10/16/2016","66.926","66.718","67.005","66.610","","0.31%"
"10/09/2016","66.717","66.602","66.990","66.473","","0.17%"
"10/02/2016","66.602","66.556","66.890","66.373","","0.07%"
"09/25/2016","66.556","66.707","66.955","66.327","","-0.23%"
"09/18/2016","66.707","67.076","67.145","66.530","","-0.55%"
"09/11/2016","67.075","66.850","67.148","66.727","","0.27%"
"09/04/2016","66.895","66.625","66.895","66.275","","0.15%"
"08/28/2016","66.795","67.169","67.247","66.617","","-0.51%"
"08/21/2016","67.136","67.139","67.370","66.831","","0.00%"
"08/14/2016","67.137","66.910","67.205","66.688","","0.34%"
"08/07/2016","66.908","66.840","66.985","66.600","","0.10%"
"07/31/2016","66.842","66.720","67.015","66.570","","0.28%"
"07/24/2016","66.655","67.165","67.495","66.625","","-0.74%"
"07/17/2016","67.154","67.096","67.273","67.012","","0.02%"
"07/10/2016","67.141","67.139","67.308","66.802","","0.00%"
"07/03/2016","67.139","67.190","67.555","67.070","","-0.08%"
"06/26/2016","67.190","67.888","68.090","67.150","","-1.02%"
"06/19/2016","67.885","67.074","68.223","67.073","","1.21%"
"06/12/2016","67.074","66.960","67.454","66.900","","0.18%"
"06/05/2016","66.952","66.887","67.055","66.451","","-0.07%"
"05/29/2016","67.000","67.040","67.519","67.000","","-0.05%"
"05/22/2016","67.031","67.430","67.780","66.875","","-0.56%"
"05/15/2016","67.408","66.925","67.610","66.675","","0.83%"
"05/08/2016","66.855","66.601","66.925","66.395","","0.38%"
"05/01/2016","66.600","66.425","66.715","66.235","","0.26%"
"04/24/2016","66.425","66.660","66.852","66.290","","-0.35%"
"04/17/2016","66.660","66.660","66.731","66.095","","0.00%"
"04/10/2016","66.660","66.555","66.690","66.271","","0.16%"
"04/03/2016","66.551","66.310","66.826","66.024","","0.28%"
"03/27/2016","66.365","66.790","66.912","66.130","","-0.69%"
"03/20/2016","66.829","66.383","66.956","66.383","","0.67%"
"03/13/2016","66.384","66.973","67.460","66.256","","-0.80%"
"03/06/2016","66.921","66.989","67.515","66.895","","-0.03%"
"02/28/2016","66.938","68.737","68.792","66.881","","-2.62%"
"02/21/2016","68.737","68.690","68.909","68.384","","0.28%"
"02/14/2016","68.545","68.119","68.690","68.010","","0.63%"
"02/07/2016","68.118","67.880","68.496","67.780","","0.45%"
"01/31/2016","67.810","67.878","68.265","67.495","","-0.10%"
"01/24/2016","67.878","67.579","68.265","67.493","","0.49%"
"01/17/2016","67.549","67.791","68.180","67.500","","-0.33%"
"01/10/2016","67.775","66.874","67.869","66.708","","1.39%"
"01/03/2016","66.847","66.165","66.981","66.165","","0.92%"
"12/27/2015","66.235","66.030","66.495","66.030","","0.32%"
"12/20/2015","66.025","66.319","66.385","65.946","","-0.35%"
"12/13/2015","66.255","67.100","67.180","66.228","","-1.33%"
"12/06/2015","67.148","66.644","67.148","66.570","","0.76%"
"11/29/2015","66.643","66.835","66.995","66.385","","-0.39%"
"11/22/2015","66.907","66.095","66.910","66.057","","1.29%"
