"month","year","month_number","start_date","end_date","bank_name","no_atms_on_site","no_atms_off_site","no_pos_on_line","no_pos_off_line","no_credit_cards","no_credit_card_atm_txn","no_credit_card_pos_txn","no_credit_card_atm_txn_value_in_mn","no_credit_card_pos_txn_value_in_mn","no_debit_cards","no_debit_card_atm_txn","no_debit_card_pos_txn","no_debit_card_atm_txn_value_in_mn","no_debit_card_pos_txn_value_in_mn"
"November","2011",11,2011-11-01,2011-11-30,"Vijaya  Bank",529,118,1285,0,40677,3857,52717,20.9556,164.639,1652200,587858,107964,198.07,188.468
"November","2011",11,2011-11-01,2011-11-30,"State Bank of India",11894,9731,0,0,2124747,21969,3111008,101.47,6030.76,84954000,150942000,5076000,402888,7461.3
"November","2011",11,2011-11-01,2011-11-30,"State Bank of Bikaner & Jaipur",613,435,0,0,0,0,0,0,0,4025062,7248953,76806,20952.5,109.8
"November","2011",11,2011-11-01,2011-11-30,"State Bank of Hyderabad",997,273,0,0,0,0,0,0,0,5483322,10709971,146667,26766.8,341.1
"November","2011",11,2011-11-01,2011-11-30,"State Bank of Mysore",557,224,0,0,0,0,0,0,0,2202719,2883259,88022,9855.9,193.7
"November","2011",11,2011-11-01,2011-11-30,"State Bank of Patiala",627,201,0,0,0,0,0,0,0,2857892,4016289,59290,11017.3,118
"November","2011",11,2011-11-01,2011-11-30,"State Bank of Travancore",634,268,0,0,0,0,0,0,0,4980996,5378173,99510,15434.4,206.7
"November","2011",11,2011-11-01,2011-11-30,"IDBI Ltd.",782,731,23243,0,0,0,0,0,0,4434140,5556253,544494,19818.5,824.491
"November","2011",11,2011-11-01,2011-11-30,"Catholic Syrian Bank Ltd.",109,56,0,0,0,0,0,0,0,311366,157209,8164,362.9,13.8
"November","2011",11,2011-11-01,2011-11-30,"City Union Bank Ltd",222,142,658,0,0,0,0,0,0,622918,824879,65667,2366.44,89.04
"November","2011",11,2011-11-01,2011-11-30,"Dhanalaxmi Bank Ltd.",168,236,0,0,1834,5,3792,0.01,9.3,1045541,402488,31046,1344.5,48
"November","2011",11,2011-11-01,2011-11-30,"Federal Bank Limited",528,351,2819,0,0,0,0,0,0,2372624,2142661,143102,8240.4,254.3
"November","2011",11,2011-11-01,2011-11-30,"ING Vysya Bank",228,200,0,0,0,0,0,0,0,1024995,2971761,123973,6943.4,212.53
"November","2011",11,2011-11-01,2011-11-30,"Jammu & Kashmir Bank",312,142,2939,0,28310,1851,33814,6.9052,124.386,1036929,3310379,22058,9666.19,68.5989
"November","2011",11,2011-11-01,2011-11-30,"Karnataka Bank Ltd.",210,92,861,0,0,0,0,0,0,1322352,1177939,102525,3393.4,150.2
"November","2011",11,2011-11-01,2011-11-30,"Karur Vysya Bank Ltd",422,245,0,0,0,0,0,0,0,2406614,3379775,129678,9577.9,181.1
"November","2011",11,2011-11-01,2011-11-30,"Lakshmi Vilas Bank Ltd.",151,258,372,0,0,0,0,0,0,354234,649455,20963,1991,45.4
"November","2011",11,2011-11-01,2011-11-30,"Ratnakar Bank Ltd.",37,9,0,0,0,0,0,0,0,26769,50206,0,133.1,0
"November","2011",11,2011-11-01,2011-11-30,"South Indian Bank Ltd",460,121,9,0,0,0,0,0,0,1991702,3815407,56590,4132.4,118.3
"November","2011",11,2011-11-01,2011-11-30,"Tamilnadu Mercantile Bank Ltd.",148,110,0,17,5521,0,4496,0,10.1,581880,927805,16500,3632.5,38.2
"November","2011",11,2011-11-01,2011-11-30,"Development Credit Bank Ltd.",83,124,692,0,0,0,0,0,0,221342,347337,28924,1190.9,50.3
"November","2011",11,2011-11-01,2011-11-30,"HDFC  Bank Ltd.",3301,3537,160689,0,5428560,60670,6398578,382.017,21076.6,14636241,22853025,5691266,94313.5,8481.43
"November","2011",11,2011-11-01,2011-11-30,"ICICI Bank Ltd.",2984,4432,143700,4335,2956176,8414,4241764,45.0255,9534.98,15542959,23584485,4265145,102347,7022.6
"November","2011",11,2011-11-01,2011-11-30,"IndusInd Bank Ltd",326,344,97,0,188857,502,258439,2.9,1009.1,797863,926889,115207,3255.1,191.6
"November","2011",11,2011-11-01,2011-11-30,"Kotak Mahindra Bank Ltd",312,455,0,0,192718,2289,260626,20.7085,686.063,1382670,2162193,297934,5822.9,458.771
"November","2011",11,2011-11-01,2011-11-30,"Axis Bank Ltd.",1856,6236,191982,0,711768,8177,726776,23.277,1927.8,11472497,43710716,2469012,99702.3,4103.9
"November","2011",11,2011-11-01,2011-11-30,"Yes Bank Ltd.",210,168,2436,0,0,0,0,0,0,178374,294733,53961,1126.5,92.8
"November","2011",11,2011-11-01,2011-11-30,"RBS (ABN AMRO)",35,88,0,0,191186,1175,198212,9.71676,561.393,310157,500021,140515,1912.94,254.032
"November","2011",11,2011-11-01,2011-11-30,"Barclays Bank",7,32,0,0,235694,0,149159,0,279.921,32032,43970,18244,153.73,33.1023
"November","2011",11,2011-11-01,2011-11-30,"Citibank",58,645,8882,0,2301552,28463,5697730,232.893,15004.3,2087377,3149224,1290547,10894.9,2841.2
"November","2011",11,2011-11-01,2011-11-30,"Deutsche Bank",12,52,0,0,0,0,0,0,0,99757,182224,76661,693,142
"November","2011",11,2011-11-01,2011-11-30,"DBS Ltd.",5,34,0,0,0,0,0,0,0,2111,22571,6245,51.7,5.339
"November","2011",11,2011-11-01,2011-11-30,"HSBC",71,69,9063,5819,779423,3010,1045368,20.2758,2809.28,517419,411395,249328,1874.34,605.542
"November","2011",11,2011-11-01,2011-11-30,"Oman International Bank SAO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"November","2011",11,2011-11-01,2011-11-30,"Standard Chartered Bank",95,212,15,0,1067095,2395,1789148,11,5350,742353,1331204,477872,4489.03,784.544
"October","2011",10,2011-10-01,2011-10-31,"Allahabad Bank",207,109,0,0,0,0,0,0,0,1184780,620248,67719,1350.4,148.4
"October","2011",10,2011-10-01,2011-10-31,"Andhra Bank",478,554,2049,0,121514,7777,104681,31.4,293.1,6623868,6946156,361869,17920.9,591.5
"October","2011",10,2011-10-01,2011-10-31,"Bank of Baroda",1232,582,4360,0,70843,1715,80948,1.6,223.3,7156478,7114838,507555,27547.1,923.2
"October","2011",10,2011-10-01,2011-10-31,"Bank of India",835,790,1920,501,118983,7391,93996,51.9,275.1,8115983,2606547,517594,7490.6,826.1
"October","2011",10,2011-10-01,2011-10-31,"Bank of Maharashtra",359,141,77,404,18829,0,13317,0,29.2,2238028,2353368,192759,7714.6,340.2
"October","2011",10,2011-10-01,2011-10-31,"Canara Bank",1554,1096,945,0,59939,8631,65789,38.4,170.7,6706379,6617081,568103,25558.4,1200.5
"October","2011",10,2011-10-01,2011-10-31,"Central Bank of India",722,550,0,0,46798,82,53294,0.3,21,3868536,6815866,108039,17279.7,350.104
"October","2011",10,2011-10-01,2011-10-31,"Corporation Bank",712,546,16077,0,57130,1329,81247,6.3,205.9,4549988,4101462,292234,13618.8,550.8
"October","2011",10,2011-10-01,2011-10-31,"Dena Bank",420,106,0,0,0,0,0,0,0,1416187,1876849,85156,6373.19,151.051
"October","2011",10,2011-10-01,2011-10-31,"Indian Bank",875,343,0,0,41193,2273,57495,9.4,149.9,6718254,8997989,477975,17658,640.3
"October","2011",10,2011-10-01,2011-10-31,"Indian Overseas Bank",821,464,562,0,36348,3084,38495,5.97777,88.4088,3097846,3757202,357074,10059.9,727.1
"October","2011",10,2011-10-01,2011-10-31,"Oriental Bank of Commerce",912,331,1047,0,0,0,0,0,0,3020166,4868386,92012,12026.7,167.9
"October","2011",10,2011-10-01,2011-10-31,"Punjab and Sind Bank",97,16,0,0,0,0,0,0,0,58974,54949,0,215,0
"October","2011",10,2011-10-01,2011-10-31,"Punjab National Bank",3079,2599,332,0,96594,2378,119531,11.2,278.3,15477812,39132584,1074386,54880,1420
"October","2011",10,2011-10-01,2011-10-31,"Syndicate  Bank",1034,202,388,0,64581,1938,50821,7.89707,129.315,5836195,4750955,284892,16662.8,532.937
"October","2011",10,2011-10-01,2011-10-31,"UCO Bank",515,214,0,0,0,0,0,0,0,1546868,1798077,116719,6938.6,255
"October","2011",10,2011-10-01,2011-10-31,"Union  Bank of India",1941,847,2789,0,40413,703,44360,3.1,126.5,7384572,12974292,366262,26879.1,679.6
